key,source,target
windows.wndsupportprompt.rating_info,"_Thank you!_ You should have just gotten an in-game review prompt.\n\nIn case you didn't, you can also leave a rating/review directly on the game's store page.",_非常感谢！_游戏内现在应该会显示出一个评分界面。\n\n如果没有出现，您也可以直接在游戏的商店页面留下评分或评价。
windows.wndsupportprompt.rating_direct,Go to Store Page,前往商店页面
windows.wndsupportprompt.support_prompt,Open Supporter Screen,打开赞助者界面
ui.customnotebutton.limit_support_text,You can also increase your custom note limit by making a supporter purchase!,你也可以通过赞助来扩增可拥有的自定义备注的页数！
ui.customnotebutton.limit_support_button,Get More Note Space,扩增自定义备注空间
bones.here_lies_nameless,Here lies a nameless %s.,这里埋葬着一位默默无闻的%s。
bones.here_lies_named,Here lies %1$s the %2$s.,这里埋葬着%1$s，一位%2$s。
bones.pacifist,"Renowned as a pacifist, they perished without taking another life.",作为一位和平主义者而闻名，在死亡前没有杀害任何生命。
bones.rats,"An esteemed puncher of rats, they defeated %d enemies before perishing.",一位尊敬的老鼠歼灭者，在死亡前击杀了%d名敌人。
bones.crabs,"A skilled crusher of crabs, they defeated %d enemies before perishing.",一位熟练的螃蟹粉碎者，在死亡前击杀了%d名敌人。
bones.undead,"A terror to the explosive undead, they defeated %d enemies before perishing.",一位易爆骷髅的梦魇，在死亡前击杀了%d名敌人。
bones.thieves,"A hunter of crazed thieves, they defeated %d enemies before perishing.",一位疯狂小偷猎杀者，在死亡前击杀了%d名敌人。
bones.bats,"A clipper of bat wings, they defeated %d enemies before perishing.",一位嗜血蝠翼绞杀者，在死亡前击杀了%d名敌人。
bones.brutes,"A crusher of gnoll helmets, they defeated %d enemies before perishing.",一位暴徒头盔粉碎者，在死亡前击杀了%d名敌人。
bones.monks,"Experienced with fighting dwarven warriors, they defeated %d enemies before perishing.",拥有与矮人作战的丰富经验，在死亡前击杀了%d名敌人。
bones.golems,"A destroyer of dwarven inventions, they defeated %d enemies before perishing.",一位矮人造物毁灭者，在死亡前击杀了%d名敌人。
bones.demons,"A legendary demon hunter, they defeated %d enemies before perishing.",一位传奇恶魔猎手，在死亡前击杀了%d名敌人。
bones.yog,"Challenger of a demon god, they defeated %d enemies before perishing.",恶魔邪神的挑战者，在死亡前击杀了%d名敌人。
bones.forgot_waterskin,A shame that in the throes of death they forgot to drink from their waterskin.,在其弥留之际却没能想起喝下水袋中的露水，不禁令人唏嘘。
bones.forgot_potion,A shame that in the throes of death they forgot to drink a Potion of Healing.,在其弥留之际却没能想起喝下一瓶治疗药剂，不禁令人唏嘘。
bones.rest_in_peace,"They leave their possessions in this world, as they pass on to the next. In hopes that another hero may avoid their grisly fate.",其迈向往生之际，将所有财物都留于此世。藉此希望后来的英雄不必再遭受其悲惨境遇。
