key,source,target
scenes.heroselectscene.daily_repeat,"You have already played today's daily. You can replay it if you like, but only as an unranked practice run.\n\nAfter you complete the replay, you will be able to view it from the daily rankings window for a short time before the record is deleted.\n\nWould you like to replay today's daily with your currently selected hero and challenges?",你已经游玩过了今天的每日挑战。你当然可以反复游玩它，但仅有练习的意义，只有第一次游玩的数据能参与排位。\n\n当你再次完成今天的每日挑战之后，你依旧可以在排位界面查看其数据，只是该数据会很快被删除。\n\n你想要使用当前选中的英雄与挑战重玩今天的每日挑战吗？
scenes.heroselectscene.daily_unavailable_long,"It seems you've started a daily that's in the future! This can happen if you recently changed timezones, or if you changed your system clock. _Your next daily will be available in %d days._",你似乎在未来开始了一场每日挑战！这种情况通常在你改变了时区的情况下发生，亦有可能是因为你篡改了系统时间。_你的下一场每日挑战将在%d天后可用。_
scenes.heroselectscene.daily_existing,You already have a daily run in progress. You must end that run before starting another daily.,你已有一场每日挑战在进行中。在开启下一场每日挑战之前，你必须先完成它。
scenes.heroselectscene.daily_nowin,Every day a new game is available that is the same for everyone! This 'daily run' generates the same dungeon for every person who plays it (so long as they are also playing the same game version).\n\n_You must win at least one game before you are able to play daily runs._,每天都有一场新游戏，对每个人都是一样的！“每日挑战”会为每个玩家生成相同的地牢(前提是他们在游玩相同的游戏版本)。\n\n_你必须先正常通关至少一次，才能游玩每日挑战。_
scenes.heroselectscene.custom_seed_title,Enter a Custom Seed,输入自定义种子
scenes.heroselectscene.custom_seed_desc,"The game uses a seed code for dungeon generation, the same seed and game version always generate the same dungeon! _Custom seed games cannot earn badges or contribute to games played, and appear at the bottom of the rankings page._",游戏通过使用种子来生成地牢，在版本不变的情况下，使用同一个种子将总是生成相同的地牢！_在应用自定义种子的游戏当中既无法获得徽章，也不计入已进行的游戏，仅会显示在排行榜界面的底部。_
scenes.heroselectscene.custom_seed_duplicate,You already have a regular game in progress with that seed. You must end that game before using that custom seed.,你已有一场使用该种子的游戏在进行中。在使用该种子开始新游戏之前，你必须先结束先前的游戏。
scenes.heroselectscene.custom_seed_nowin,"The game uses a seed code for dungeon generation, the same seed and game version always generate the same dungeon!\n\n_You must win at least one game before you are able to enter custom seeds._",游戏通过使用种子来生成地牢，在版本不变的情况下，使用同一个种子将总是生成相同的地牢！\n\n_你必须先正常通关至少一次，才能使用自定义种子进行游玩。_
scenes.heroselectscene.custom_seed_set,Set,设置
scenes.heroselectscene.custom_seed_clear,Clear,清除
scenes.heroselectscene.challenges_nowin,"Challenges are optional modifiers that make the game more difficult. Some challenges make the dungeon more dangerous, others reduce the power of your abilities or items.\n\n_You must win at least one game before you are able to enable challenges._",挑战是一类为游戏增添难度的设置选项，可自行选择开启与否。其中的一些会使地牢变得更加危险，另一些则会削弱角色本身或其他物品的力量。\n\n_你必须先正常通关至少一次，才能开启挑战进行游玩。_
scenes.heroselectscene.randomize,Randomize,随机模式
scenes.heroselectscene.randomize_hero,Randomize Hero,随机英雄
scenes.heroselectscene.randomize_chals,Randomize Challenges,随机挑战
scenes.heroselectscene.randomize_chals_title,Challenges,挑战
scenes.heroselectscene.randomize_confirm,Confirm,确定
scenes.heroselectscene.randomize_cancel,Cancel,取消
scenes.interlevelscene$mode.descend,Descending,下楼中
scenes.interlevelscene$mode.ascend,Ascending,上楼中
scenes.interlevelscene$mode.continue,Loading,读取中
scenes.interlevelscene$mode.resurrect,Resurrecting,复活中
scenes.interlevelscene$mode.return,Returning,返回中
scenes.interlevelscene$mode.fall,Falling!,跌落中！
scenes.interlevelscene$mode.reset,Resetting,重置中
scenes.interlevelscene.file_not_found,"Save file not found. If this error persists after restarting, it may mean this save game is corrupted. Sorry about that.",未能找到存档文件。如果重启后问题依旧存在，那这个存档可能已经损坏。节哀顺变。
scenes.interlevelscene.io_error,"Cannot read save file. If this error persists after restarting, it may mean this save game is corrupted. Sorry about that.",未能读取存档文件。如果重启后问题依旧存在，那这个存档可能已经损坏。节哀顺变。
scenes.interlevelscene.continue,Continue,继续
scenes.journalscene.title,Journal,日志
scenes.newsscene.title,Game News,游戏新闻
scenes.newsscene.read_more,Read More,查阅更多
scenes.newsscene$newsinfo.english_warn,News posts are written by the developer and are only available in English.,新闻仅能由开发者以英文撰写。
scenes.newsscene$newsinfo.metered_network,"Couldn't check for news posts, as you're connected to a metered network, such as mobile data.",当连接到一个流量计费的网络，比如移动数据时，您无法浏览新闻。
scenes.newsscene$newsinfo.enable_data,Check on Mobile Data,请检查移动数据网络
scenes.newsscene$newsinfo.no_internet,"Couldn't check for news posts, make sure you're connected to the internet.",无法查看新闻，请确认您已连接到互联网。
scenes.newsscene$newsinfo.news_disabled,"You have disabled checking for news posts, so none will appear here.",您已禁用新闻功能，所以这里什么也不会显示。
scenes.newsscene$newsinfo.enable_news,Enable News,启用新闻
scenes.rankingsscene.title,Rankings,排行榜
scenes.rankingsscene.total,Games Played:,游戏次数：
scenes.rankingsscene.no_games,No games have been played yet.,目前为止还没有已经结束的游戏。
scenes.rankingsscene.no_info,No additional information,没有额外信息
scenes.startscene.title,Games in Progress,进行中的游戏
scenes.startscene.one_minute_ago,1 minute ago,存档于1分钟前
scenes.startscene.minutes_ago,%d minutes ago,存档于%d分钟前
scenes.startscene.hours_ago,%d hours ago,存档于%d小时前
scenes.startscene.days_ago,%d days ago,存档于%d天前
scenes.startscene.months_ago,%d months ago,存档于%d月前
scenes.startscene.new,New Game,新游戏
scenes.startscene.sort_level,Sort: Level,排序：按等级
scenes.startscene.sort_recent,Sort: Recent,排序：按时间
scenes.supporterscene.title,Support the Game,支持游戏开发
scenes.supporterscene.intro,"I want Shattered Pixel Dungeon to be free of ads and invasive microtransactions, which ruin so many free games. Instead, I'd rather ask players to support the game directly!",我不希望破碎的像素地牢沾染任何广告或侵入性微交易要素。那些东西毁了不知多少免费游戏。相应地，我希望玩家们能对本游戏进行直接的支持！
scenes.supporterscene.patreon_msg,"If you enjoy Shattered and want to help me keep making it, please consider supporting me on _Patreon!_ The Patreon has a bunch of exclusive benefits!:\n_- Early Access_ to betas of future updates.\n_- Weekly Mini-Blogs_ with info about what I'm working on.\n_- Monthly Polls_ which directly affect content I'm developing.\n_- Physical Reward Pins_ after 1, 2, and 3 years of patronage.\n_- A Community Discord_ with a dev log and chat channels.\n\n_And More!_ You can visit the Patreon page for more info. Thanks for your time, and happy dungeoneering!",如果您喜欢玩破碎的像素地牢并且想要帮助我持续地开发它，请考虑考虑在_Patreon_上支持我吧！Patreon可为您提供独占福利！\n_-抢先体验：_游玩包含未来更新的版本。\n_-每周开发小日志：_分享我正着力进行的工作。\n_-月度民意调查：_调查的结果会直接影响到我正开发的内容。\n_-实体胸针奖品：_进行1、2、3年的赞助之后。\n_-Discord社区：_包含开发日志以及聊天频道。\n_以及更多！_\n\n你可以通过访问在Patreon上的页面获得更多信息。感谢您百忙之中抽空拜访，祝地牢探险愉快！
scenes.supporterscene.patreon_english,(Note that Patreon rewards are only available in English.),(请注意：Patreon回报仅提供英文内容)
scenes.supporterscene.supporter_link,Go to Patreon Page,前往在Patreon上的主页。
scenes.surfacescene.exit,Game Over,游戏结束
scenes.titlescene.play,Play,开始
scenes.titlescene.enter,Enter the Dungeon,进入地牢
scenes.titlescene.rankings,Rankings,排行榜
scenes.titlescene.journal,Journal,日志
scenes.titlescene.news,News,游戏新闻
scenes.titlescene.changes,Changes,改动
scenes.titlescene.update,Update,更新
scenes.titlescene.install,Install,安装
scenes.titlescene.settings,Settings,设置
scenes.titlescene.about,About,关于
scenes.titlescene.support,Support the Game,支持游戏开发
scenes.titlescene$changesbutton.title,An Update is Available!,检测到新版本！
scenes.titlescene$changesbutton.versioned_title,Update Available: %s,最新版本：%s
scenes.titlescene$changesbutton.desc,"Shattered Pixel Dungeon is regularly updated with overhauls to existing game content, or entirely new content!\n\nGame balance is also frequently improved in game updates, so that specific items/heroes/enemies aren't too strong or too weak.\n\nUpdates also include fixes for bugs and other various stability improvements.",破碎的像素地牢会时常更新以变更既有内容，或是加入新东西！\n\n游戏平衡也会经常得到调整，维持物品、英雄、敌人强度的大致均衡。\n\n更新还包含漏洞修复与各种稳定性提升。
scenes.titlescene$changesbutton.update,Go to Update Page,前往更新详情页
scenes.titlescene$changesbutton.changes,Current Changes Screen,近期更新界面
scenes.titlescene.patreon_body,"Shattered Pixel Dungeon is a completely free game, which means that I depend on support from generous players in order to keep making it.\n\nIf you're interested in supporting me, the best way to do so is through Patreon. Patreon gives me a consistent income source, and allows me to give something back to those who support me!\n\nPatrons get exclusive blog posts every week which let them know about what I'm working on before anyone else!\n\nYou can take a look at my Patreon page for the most up to date information about benefits, Thank you for your consideration!\n\n(Patreon rewards are only available in English)",《破碎像素地牢》是一款完全免费的游戏，有玩家的大方捐献支持我才能一直坚持开发。\n\n如果想支持我，最好的方法是使用Patreon平台。Patreon能提供一个稳定的收入源，也让我有方法回馈我的支持者！\n\nPatreon支持者每周都可以看一篇独家文章，抢先于其他所有人了解我的下一步开发想法！\n\n你可以访问我的Patreon页面获悉最新的回馈详情。感谢你的支持！\n\n(Patreon奖励只能提供英语内容，请见谅)
scenes.titlescene.patreon_button,Patreon Page,Patreon赞助页面
scenes.welcomescene.update_intro,Shattered Pixel Dungeon has been updated!,破碎的像素地牢已经更新！
scenes.welcomescene.update_msg,"v3.3 includes a tester area for the upcoming overhaul to the city quest, new items, and a bunch of smaller tweaks and improvements.",v3.3版本包含了一个对即将到来的都城区域任务优化的测试区域，全新道具，与一系列小型改动与改善。
scenes.welcomescene.patch_intro,Shattered Pixel Dungeon has been patched!,破碎的像素地牢补丁已经成功安装！
scenes.welcomescene.patch_bugfixes,This patch contains bugfixes.,本次补丁包含少量Bug修复。
scenes.welcomescene.patch_translations,This patch contains translation updates.,本次补丁包含翻译文本更新。
scenes.welcomescene.patch_balance,This patch contains tweaks to game balance.,本次更新包含游戏平衡性改动。
scenes.welcomescene.patch_msg,This patch also contains some small tweaks and performance improvements.,本次补丁同样包含少量微调和性能优化。
scenes.welcomescene.what_msg,"It seems that your current saves are from a future version of Shattered Pixel Dungeon!\n\nTread with caution! Your saves may contain things which don't exist in this version, this could cause some very weird errors to occur.",看起来你正使用的存档来自于新版本的破碎地牢！\n\n谨慎行事！你的存档可能包含一些这个版本中不存在的东西，这可能会导致一些非常奇怪的错误发生。
scenes.welcomescene.lang_warning_title,Incomplete Translation,翻译未完成
scenes.welcomescene.lang_warning_msg,Some of the new content from this update has not yet been translated.\n\nSome phrases may be written in English.\n\nThe translation teams are working to resolve this and a full translation should be patched in soon.\n\nThank you for your patience.,本次更新内容还未被完全翻译。\n\n部分词汇可能还是英语。\n\n翻译组正全力解决这个问题，完整翻译将在不久后放出。\n\n谢谢您的耐心等待。
scenes.welcomescene.continue,Continue,继续
scenes.welcomescene.changelist,Changelist,变动列表
scenes.welcomescene.save_warning,"Shattered Pixel Dungeon was interrupted while trying to save your game data recently. Shattered has built-in protections against this, so your game data should be fine.\n\nThis usually happens when your device suddenly loses power, or if it terminates Shattered without letting it close properly. Battery saver features can often cause this on mobile devices. Restarting your device may also help if you are seeing this error frequently.",最近，破碎的像素地牢在进行存档时被打断了。\n\n本游戏内置有保护机制，所以你的游戏数据可能不会丢失。\n\n这通常发生在你的设备突然断电，或没有以合适方式关闭本游戏的时候。移动设备的省电功能通常会导致这种情况。\n\n如果你经常看见此提示，可以尝试通过重启设备的方法来解决。
scenes.welcomescene.controller_title,Controller Input,手柄输入
scenes.welcomescene.controller_body,Playing on a controller? Use the right stick to control an on-screen cursor.\n\nPress RT/R2 or the right stick to select with the cursor.,正在使用手柄进行游玩吗？使用右摇杆来操纵屏幕上的光标。\n\n按下RT/R2键或右摇杆以进行点击。
scenes.welcomescene.controller_okay,Okay,开启
