key,source,target
windows.wndclericspells.cast_desc_desktop,"Select a spell to cast it, right click for info or to set a spell to quick cast.",选择一个要施放的法术，右键单击获取信息或为法术设置快捷施法。
windows.wndclericspells.cast_desc_mobile,"Select a spell to cast it, long press to set a spell to quick cast, or press the info button to switch to info mode.",选择一个要施放的法术，长按为法术设置快捷施法，或按信息按钮切换为信息模式。
windows.wndclericspells.info_desc,"Select a spell to learn about it, or press the holy tome button to switch to cast mode.",选择一个要了解的法术，或按圣典按钮切换为施法模式。
windows.wndclericspells.cast,Cast,施法
windows.wndclericspells.info,Info,信息
windows.wndclericspells.quick_cast,Quick Cast,快捷施法
windows.wndcombo.title,choose a combo move,选择连击战技
windows.wndcombo.combo_req,(%d combo),(%d连击)
windows.wnddailies.title,Daily History,每日挑战历史
windows.wnddailies.date,Date,日期
windows.wnddailies.score,Score,得分
windows.wnddocument.missing,page missing,缺页
windows.wndenergizeitem.prompt,Energize an Item,提炼一件物品
windows.wndenergizeitem.energize,Turn into %d energy,转化为%d点能量
windows.wndenergizeitem.energize_1,Turn 1 into %d energy,转化一个为%d点能量
windows.wndenergizeitem.energize_all,Turn all into %d energy,转化全部为%d点能量
windows.wndenergizeitem.trinket_warn,Are you sure you want to energize your trinket? You'll get 5 energy back but _the trinket will be permanently lost!_,你确定要炼化你的饰物吗？你会获得5点炼金能量返还，但_饰物将会永远消失！_
windows.wndenergizeitem.trinket_yes,"Yes, energize it",是，将其炼化
windows.wndenergizeitem.trinket_no,"No, nevermind",不，算了
windows.wnderror.title,ERROR,错误
windows.wndgame.settings,Settings,设置
windows.wndgame.challenges,Challenges,挑战
windows.wndgame.rankings,Rankings,排行榜
windows.wndgame.start,Start New Game,踏上征途
windows.wndgame.menu,Main Menu,主菜单
windows.wndgame.exit,Exit Game,退出游戏
windows.wndgame.return,Return to Game,继续冒险
windows.wndgameinprogress.title,Level %1$d %2$s,%1$d级%2$s
windows.wndgameinprogress.challenges,Challenges,挑战
windows.wndgameinprogress.exp,Experience,经验
windows.wndgameinprogress.str,Strength,力量
windows.wndgameinprogress.health,Health,生命
windows.wndgameinprogress.gold,Gold Collected,金币收集数
windows.wndgameinprogress.depth,Maximum Depth,最高层数
windows.wndgameinprogress.dungeon_seed,Dungeon Seed,地牢种子
windows.wndgameinprogress.custom_seed,_Custom Seed_,_自定义种子_
windows.wndgameinprogress.daily_for,_Daily For_,_日常挑战于_
windows.wndgameinprogress.replay_for,_Replay For_,_重玩于_
windows.wndgameinprogress.continue,Continue,继续
windows.wndgameinprogress.erase,Erase,删除
windows.wndgameinprogress.erase_warn_title,Are you sure you want to delete this save?,你确定要删除这个存档吗？
windows.wndgameinprogress.erase_warn_body,All progress on this game will be lost,你将失去这局游戏的所有进度
windows.wndgameinprogress.erase_warn_yes,"Yes, delete this save",是，删除这个存档
windows.wndgameinprogress.erase_warn_no,"No, I want to continue",不，我要接着玩
windows.wndhero.stats,Stats,属性
windows.wndhero.talents,Talents,天赋
windows.wndhero.buffs,Buffs,状态
windows.wndhero$statstab.title,Level %1$d %2$s,%1$d级%2$s
windows.wndhero$statstab.exp,Experience,经验
windows.wndhero$statstab.str,Strength,力量
windows.wndhero$statstab.health,Health,生命
windows.wndhero$statstab.gold,Gold Collected,金币收集数
windows.wndhero$statstab.depth,Maximum Depth,最高层数
windows.wndhero$statstab.dungeon_seed,Dungeon Seed,地牢种子
windows.wndhero$statstab.custom_seed,_Custom Seed_,_自定义种子_
windows.wndhero$statstab.daily_for,_Daily For_,_日常挑战于_
windows.wndhero$statstab.replay_for,_Replay For_,_重玩于_
windows.wndheroinfo.talents,talents,天赋
windows.wndheroinfo.talents_msg,The hero gains one talent point each time they level up. Higher tier talents appear after defeating the second boss.,英雄在升级时会获得一点天赋点数。更高阶的天赋在击杀第二个Boss后才会解锁。
windows.wndheroinfo.subclasses,subclasses,专精
windows.wndheroinfo.subclasses_msg,A subclass can be chosen after defeating the second boss.,击杀第二个Boss后可以选择一种职业专精。
windows.wndheroinfo.abilities,armor abilities,护甲技能
windows.wndheroinfo.abilities_msg,An armor ability can be chosen after defeating the fourth boss.,击杀第四个Boss后可以选择一项护甲技能。
windows.wndimp.message,"Oh yes! You are my hero!\nRegarding your reward, I don't have cash with me right now, but I have something better for you. This is my family heirloom ring: my granddad took it off a dead paladin's finger.",哦太棒了！你简直就是我的英雄！\n关于你的奖励，我现在没带钱，但我这有个更好的东西。这个戒指是我们的传家宝物，是我爷爷从一个死掉的圣骑士手上摘下来的。
windows.wndimp.reward,Take the ring,接受戒指
windows.wndinfocell.nothing,Nothing interesting here.,这里没什么有趣的东西。
windows.wndinfotalent.upgrade,Upgrade Talent,升级天赋
windows.wndinfotrap.inactive,"This trap is inactive, and can no longer be triggered.",这个陷阱已经失效了，且不会被再次触发。
windows.wndjournal$guidetab.title,Dungeon Guide,地牢指南
windows.wndjournal$alchemytab.title,Alchemy Guide,炼金指南
windows.wndjournal$guidetab.missing,page missing,缺页
windows.wndjournal$notestab.title,Adventuring Notes,探险手册
windows.wndjournal$notestab.desc,"As you journey through the dungeon, you will automatically record noteworthy things here.",随着你在地牢中的旅途逐渐推进，这里会自动为你记录下重要信息。
windows.wndjournal$notestab.custom_notes,Custom,自定义
windows.wndjournal$notestab.floor_header,Floor %d,第%d层
windows.wndjournal$catalogtab.title,Catalogs,图鉴
windows.wndjournal$catalogtab.title_equipment,Equipment,装备
windows.wndjournal$catalogtab.title_consumables,Consumables,消耗品
windows.wndjournal$catalogtab.title_bestiary,Bestiary,单位图鉴
windows.wndjournal$catalogtab.title_lore,Lore,背景故事
windows.wndjournal$catalogtab.not_seen_item,You haven't found and identified that item in any of your runs yet.,你还没在任何一局游戏中发现并鉴定过这种物品。
windows.wndjournal$catalogtab.not_seen_enchantment,You haven't found and identified a weapon with that enchantment in any of your runs yet.,你还没在任何一局游戏中发现并鉴定过带有这种附魔的武器。
windows.wndjournal$catalogtab.not_seen_glyph,You haven't found and identified an armor with that glyph in any of your runs yet.,你还没在任何一局游戏中发现并鉴定过带有这种刻印的护甲。
windows.wndjournal$catalogtab.not_seen_enemy,You haven't defeated this enemy in any of your runs yet.,你还没在任何一局游戏中击败过这种敌人。
windows.wndjournal$catalogtab.not_seen_ally,You haven't encountered this character in any of your runs yet.,你还没在任何一局游戏中遇见过这个角色。
windows.wndjournal$catalogtab.not_seen_trap,You haven't examined or triggered this trap in any of your runs yet.,你还没在任何一局游戏中检查或触发过这种陷阱。
windows.wndjournal$catalogtab.not_seen_plant,You haven't examined or trampled this plant in any of your runs yet.,你还没在任何一局游戏中检查或践踏过这种植物。
windows.wndjournal$catalogtab.upgrade_count,"You have upgraded this item a total of _%,d_ times.","你已经升级了这种物品共计_%,d_次。"
windows.wndjournal$catalogtab.trinket_count,"You have crafted or upgraded this item a total of _%,d_ times.","你已经合成或升级了这种物品共计_%,d_次。"
windows.wndjournal$catalogtab.use_count,"You have used this item a total of _%,d_ times.","你已经使用了这种物品共计_%,d_次。"
windows.wndjournal$catalogtab.gold_count,"You have spent a total of _%,d_ gold.","你已经花费了共计_%,d_枚金币。"
windows.wndjournal$catalogtab.energy_count,"You have used a total of _%,d_ energy crystals.","你已经使用了共计_%,d_个能量晶体。"
windows.wndjournal$catalogtab.enemy_count,"You have defeated this enemy a total of _%,d_ times.","你已经击败了这种敌人共计_%,d_次。"
windows.wndjournal$catalogtab.trap_count,"You have triggered this trap a total of _%,d_ times.","你已经触发了这种陷阱共计_%,d_次。"
windows.wndjournal$catalogtab.plant_count,"You have trampled this plant a total of _%,d_ times.","你已经践踏了这种植物共计_%,d_次。"
windows.wndjournal$catalogtab.not_seen_lore,You haven't found this lore text in any of your runs yet.,你还没在任何一局游戏中发现过这段背景故事。
windows.wndjournal$badgestab.title,Badges,徽章
windows.wndjournal$badgestab.title_main_menu,Your Badges,你的徽章
windows.wndjournal$badgestab.this_run,This Run,本局
windows.wndjournal$badgestab.overall,Overall,全局
windows.wndkeybindings.controller_info,The left stick moves your character\nThe right stick controls an on-screen pointer,使用左摇杆移动你的角色\n使用右摇杆移动光标
windows.wndkeybindings.ttl_action,Action,行动
windows.wndkeybindings.ttl_key1,Key 1,按键1
windows.wndkeybindings.ttl_key2,Key 2,按键2
windows.wndkeybindings.ttl_key3,Key 3,按键3
windows.wndkeybindings.default,Default Bindings,恢复默认键位
windows.wndkeybindings.confirm,Confirm,确定
windows.wndkeybindings.cancel,Cancel,取消
windows.wndkeybindings.none,None,无按键
windows.wndkeybindings.back,Back,返回
windows.wndkeybindings.left_click,Left Click,左键单击
windows.wndkeybindings.right_click,Right Click,右键单击
windows.wndkeybindings.middle_click,Middle Click,中键单击
windows.wndkeybindings.menu,Menu,菜单
windows.wndkeybindings.hero_info,Hero Info,英雄信息
windows.wndkeybindings.journal,Journal,事件记录
windows.wndkeybindings.wait,Wait,等待
windows.wndkeybindings.examine,Examine,检视
windows.wndkeybindings.rest,Rest,休息
windows.wndkeybindings.inventory,Inventory,打开背包
windows.wndkeybindings.inventory_selector,Inventory Selector,选择容器
windows.wndkeybindings.quickslot_selector,Quickslot Selector,选择快捷栏
windows.wndkeybindings.quickslot_1,Quickslot 1,快捷栏1
windows.wndkeybindings.quickslot_2,Quickslot 2,快捷栏2
windows.wndkeybindings.quickslot_3,Quickslot 3,快捷栏3
windows.wndkeybindings.quickslot_4,Quickslot 4,快捷栏4
windows.wndkeybindings.quickslot_5,Quickslot 5,快捷栏5
windows.wndkeybindings.quickslot_6,Quickslot 6,快捷栏6
windows.wndkeybindings.bag_1,Container 1,容器1
windows.wndkeybindings.bag_2,Container 2,容器2
windows.wndkeybindings.bag_3,Container 3,容器3
windows.wndkeybindings.bag_4,Container 4,容器4
windows.wndkeybindings.bag_5,Container 5,容器5
windows.wndkeybindings.tag_attack,Attack Enemy,攻击
windows.wndkeybindings.tag_danger,Switch Enemy,切换攻击目标
windows.wndkeybindings.tag_action,Special Action,特殊行动
windows.wndkeybindings.tag_loot,Pickup Item,捡拾物品
windows.wndkeybindings.tag_resume,Resume Motion,恢复行进
windows.wndkeybindings.cycle,Next Target / Next Tab,下一个目标/下一个表标签
windows.wndkeybindings.zoom_in,Zoom In / Scroll Down,画面放大/向下滚动
windows.wndkeybindings.zoom_out,Zoom Out / Scroll Up,画面缩小/向上滚动
windows.wndkeybindings.n,Go North,向上
windows.wndkeybindings.e,Go East,向右
windows.wndkeybindings.s,Go South,向下
windows.wndkeybindings.w,Go West,向左
windows.wndkeybindings.ne,Go NE,右上
windows.wndkeybindings.se,Go SE,右下
windows.wndkeybindings.sw,Go SW,左下
windows.wndkeybindings.nw,Go NW,左上
windows.wndkeybindings.wait_or_pickup,Wait / Pickup Item,等待/捡起物品
windows.wndkeybindings$wndchangebinding.desc_first,Press a key to change the first key binding for: _%s_.,按下一个按键以替代_%s_的第一键位。
windows.wndkeybindings$wndchangebinding.desc_second,Press a key to change the second key binding for: _%s_.,按下一个按键以替代_%s_的第二键位。
windows.wndkeybindings$wndchangebinding.desc_third,Press a key to change the third key binding for: _%s_.,按下一个按键以替代_%s_的第三键位。
windows.wndkeybindings$wndchangebinding.desc_current,Current binding: _%s_,当前键位：_%s_
windows.wndkeybindings$wndchangebinding.changed_bind,New binding: _%s_,新的键位：_%s_
windows.wndkeybindings$wndchangebinding.warning,This key will be unbound from _%s_.,这个按键将不再应用于_%s_。
windows.wndkeybindings$wndchangebinding.error,This key is already bound to this action.,这个按键已经应用于该行动。
windows.wndkeybindings$wndchangebinding.unbind,Unbind Key,无按键
windows.wndkeybindings$wndchangebinding.cant_unbind,You must have at least one key bound to this action.,至少要有一个键位对应此行动。
windows.wndkeybindings$wndchangebinding.confirm,Confirm,确定
windows.wndkeybindings$wndchangebinding.cancel,Cancel,取消
windows.wndmonkabilities.title,choose an ability,选择一门武功
windows.wndmonkabilities.energycost,(%d energy),(%d内力)
windows.wndquickbag.title,quick-use an item,快速使用一件物品
windows.wndranking.error,Unable to load additional information,无法载入更多信息。
windows.wndranking.stats,Stats,属性
windows.wndranking.items,Items,物品
windows.wndranking.badges,Badges,徽章
windows.wndranking$statstab.title,Level %1$d %2$s,%1$d级%2$s
windows.wndranking$statstab.talents,Talents,天赋
windows.wndranking$statstab.challenges,Challenges,挑战
windows.wndranking$statstab.score,Score,得分
windows.wndranking$statstab.str,Strength,力量
windows.wndranking$statstab.duration,Game Duration,游戏时长
windows.wndranking$statstab.depth,Maximum Depth,最高层数
windows.wndranking$statstab.ascent,Highest Ascent,最远返程
windows.wndranking$statstab.seed,Dungeon Seed,地牢种子
windows.wndranking$statstab.custom_seed,_Custom Seed_,_自定义种子_
windows.wndranking$statstab.daily_for,_Daily For_,_日常挑战于_
windows.wndranking$statstab.replay_for,_Replay For_,_重玩于_
windows.wndranking$statstab.enemies,Mobs Killed,怪物击杀数
windows.wndranking$statstab.gold,Gold Collected,金币收集数
windows.wndranking$statstab.food,Food Eaten,食物消耗量
windows.wndranking$statstab.alchemy,Items Crafted,制造完成
windows.wndranking$statstab.copy_seed,Copy Seed,复制种子
windows.wndranking$statstab.copy_seed_desc,"Would you like to use the dungeon seed from this ranking as a custom seed for a new game? _Note that games with a custom seed cannot earn badges or contribute to games played, and appear at the bottom of the rankings page._\n\nIf this ranking is for an old run, also note that different versions of Shattered Pixel Dungeon may make different dungeons even if the seed is the same.",你确定要使用这条记录对应的地牢种子开始一场游戏吗？_注意，使用自定义种子的游戏不能获得徽章，不计入已进行的游戏，也不会出现在排行榜的底部。_\n\n如果这个排名来自较早的游戏，也要注意不同版本的《破碎的像素地牢》可能会生成不同的地牢，即使使用相同的种子。
windows.wndranking$statstab.copy_seed_copy,Use this Seed,使用这个种子
windows.wndranking$statstab.copy_seed_cancel,Cancel,取消
windows.wndresurrect.title,Resurrection,复活
windows.wndresurrect.message,"As you perish you can feel your ankh guiding your spirit back toward this world. It's giving you another chance to conquer the dungeon!\n\nYou can bring two of your items with you, but the rest will be left where you perished. Which items will you choose?",死亡正在降临，所幸重生十字架正努力引导你的灵魂回到这个世界。这给了你又一个征服地牢的机会！\n\n你可以保留两件物品，而其余物品将会留在你死去的地方。\n请做出选择吧。
windows.wndresurrect.prompt,Select an item,选择一件物品
windows.wndresurrect.confirm,Preserve these items,保留这些物品
windows.wndresurrect.warn_title,Missing Items,缺少物品
windows.wndresurrect.warn_body,You haven't selected two items. Are you sure you want to resurrect without two items?,你还没有选定两件物品。你确定要放弃保留两件物品并重生吗？
windows.wndresurrect.warn_yes,"Yes, I'm sure",是的，我确定
windows.wndresurrect.warn_no,"No, let me reconsider",不，我改主意了
windows.wndsadghost.rat_title,DEFEATED FETID RAT,击败腐臭老鼠
windows.wndsadghost.gnoll_title,DEFEATED GNOLL TRICKSTER,击败豺狼诡术师
windows.wndsadghost.crab_title,DEFEATED GREAT CRAB,击败巨钳螃蟹
windows.wndsadghost.rat,"Thank you, that horrid rat is slain and I can finally rest... I wonder what twisted magic created such a foul creature...",谢谢你，那个可怕的老鼠被杀，我也终于可以安息了...不知道究竟是什么样畸形的魔法才能创造这样一个肮脏的生物...
windows.wndsadghost.gnoll,"Thank you, that scheming gnoll is slain and I can finally rest... I wonder what twisted magic made it so smart...",谢谢你，那个诡计多端的豺狼人被杀，我也终于可以安息了...不知道究竟是什么样畸形的魔法使它如此诡诈...
windows.wndsadghost.crab,"Thank you, that giant crab is slain and I can finally rest... I wonder what twisted magic allowed it to live so long...",谢谢你，那只巨蟹被杀，我也终于可以安息了...不知道究竟是什么样畸形的魔法能让它活得那么长久...
windows.wndsadghost.give_item,"Please take one of these items, they are useless to me now... Maybe they will help you in your journey...\n\nAlso... There is an item lost in this dungeon that is very dear to me... If you ever... find my... rose......",挑一个你喜欢的拿走吧，我再也用不着它们了...希望它们能帮助你继续走下去...\n\n还有...我在这地牢里弄丢了一件心爱之物...如果你能...找到那...玫瑰...
windows.wndsadghost.confirm,Confirm,确定
windows.wndsadghost.cancel,Cancel,取消
windows.wndsadghost.farewell,"Farewell, adventurer!",一路顺风，冒险家！
windows.wndscorebreakdown.title,Score Breakdown,得分详情
windows.wndscorebreakdown.progress_title,Progression,游戏
windows.wndscorebreakdown.progress_desc,Based on maximum depth and hero level.,基于最深层数与英雄等级。
windows.wndscorebreakdown.treasure_title,Treasure,寻宝
windows.wndscorebreakdown.treasure_desc,Based on gold collected and held item value.,基于收集的金币与随身物品的价值。
windows.wndscorebreakdown.treasure_desc_old,Based on gold collected.,基于收集的金币。
windows.wndscorebreakdown.explore_title,Exploration,探索
windows.wndscorebreakdown.explore_desc,"Based on floors explored. Reduced by missing items or hidden doors, or unsolved puzzles.",基于已探索的楼层。遗漏物品、隐藏门道与未解谜题会降低分数。
windows.wndscorebreakdown.bosses_title,Bosses,Boss战
windows.wndscorebreakdown.bosses_desc,Based on bosses defeated. Reduced by standing in avoidable attacks during boss fights.,基于已击败的boss。在boss战中受到可规避的攻击会降低分数。
windows.wndscorebreakdown.quests_title,Quests,任务
windows.wndscorebreakdown.quests_desc,Based on quests completed. Reduced by taking avoidable attacks or missing quest score.,基于已完成的任务。受到可规避的攻击或未完成任务目标会降低分数。
windows.wndscorebreakdown.win_multiplier,Win Multiplier,通关倍率
windows.wndscorebreakdown.challenge_multiplier,Challenge Multiplier,挑战倍率
windows.wndscorebreakdown.total,Total Score,总分
windows.wndscorebreakdown.old_score_desc,"Games started prior to v1.3 have fewer scoring categories, but progression is ~50% larger and treasure has a higher cap",在v1.3版本之前开始的游戏得分项目较少，但来自进度项目的得分会增加约50%，并且来自寻宝项目的得分上限也会增加。
windows.wndsettings$displaytab.title,Display Settings,显示设置
windows.wndsettings$displaytab.fullscreen,Fullscreen,全屏模式
windows.wndsettings$displaytab.hide_navigation,Hide Navigation Bar,隐藏导航栏
windows.wndsettings$displaytab.hide_gesture,Hide Gesture Bar,隐藏手势栏
windows.wndsettings$displaytab.okay,Okay,开启
windows.wndsettings$displaytab.cancel,Cancel,取消
windows.wndsettings$displaytab.landscape,Force landscape,强制横屏
windows.wndsettings$displaytab.brightness,Brightness,亮度
windows.wndsettings$displaytab.dark,Dark,暗
windows.wndsettings$displaytab.bright,Bright,亮
windows.wndsettings$displaytab.visual_grid,Visual Grid,网格可视度
windows.wndsettings$displaytab.off,Off,关闭
windows.wndsettings$displaytab.low,Low,低
windows.wndsettings$displaytab.high,High,最高
windows.wndsettings$displaytab.camera_follow,Camera Follow Intensity,镜头追踪强度
windows.wndsettings$displaytab.screenshake,Screen Shake,震屏
windows.wndsettings$uitab.title,Interface Settings,界面设置
windows.wndsettings$uitab.ui_mode,Interface Mode,界面模式
windows.wndsettings$uitab.scale,Interface Scale,界面尺寸
windows.wndsettings$uitab.mobile,Mobile,移动端
windows.wndsettings$uitab.full,Full,全尺寸
windows.wndsettings$uitab.toolbar_settings,Toolbar Settings,工具栏设置
windows.wndsettings$uitab.mode,Toolbar Mode:,工具栏模式：
windows.wndsettings$uitab.split,Split,分散
windows.wndsettings$uitab.group,Group,组合
windows.wndsettings$uitab.center,Center,居中
windows.wndsettings$uitab.flip_toolbar,Flip Toolbar,翻转工具栏
windows.wndsettings$uitab.flip_indicators,Flip Indicators,翻转指示器
windows.wndsettings$uitab.quickslot_swapper,Quickslot Swapper,切换快捷栏
windows.wndsettings$uitab.swapper_desc,Shows 3 quickslots with a 'swapper' button if there isn't enough room to display all six quickslots.,当空间不足以显示所有6个快捷栏的时候，通过“切换快捷栏”按钮可以交替显示另外3个快捷栏。
windows.wndsettings$uitab.system_font,System Font,系统字体
windows.wndsettings$uitab.off,Off,关闭
windows.wndsettings$uitab.high,High,最高
windows.wndsettings$uitab.vibration,Vibration,振动
windows.wndsettings$inputtab.title,Input Settings,输入设置
windows.wndsettings$inputtab.key_bindings,Key Bindings,键鼠键位
windows.wndsettings$inputtab.controller_bindings,Controller Bindings,控制器键位
windows.wndsettings$inputtab.controller_sensitivity,Controller Pointer Sensitivity,控制器光标灵敏度
windows.wndsettings$inputtab.movement_sensitivity,Hold To Move Sensitivity,控制器移动灵敏度
windows.wndsettings$inputtab.off,Off,关闭
windows.wndsettings$inputtab.high,High,最高
windows.wndsettings$datatab.title,Connectivity Settings,网络设置
windows.wndsettings$datatab.news,Check for news,自动检查新闻
windows.wndsettings$datatab.updates,Check for updates,自动检查更新
windows.wndsettings$datatab.betas,Include beta updates,包含Beta测试的内容
windows.wndsettings$datatab.wifi,Only check on WiFi,仅在WIFI环境下检查
windows.wndsettings$audiotab.title,Audio Settings,音频设置
windows.wndsettings$audiotab.music_vol,Music Volume,音乐音量
windows.wndsettings$audiotab.music_mute,Mute Music,关闭音乐
windows.wndsettings$audiotab.sfx_vol,SFX Volume,音效音量
windows.wndsettings$audiotab.sfx_mute,Mute SFX,关闭音效
windows.wndsettings$audiotab.ignore_silent,Ignore Silent Mode,忽略静音模式
windows.wndsettings$audiotab.music_bg,Play Music in Background,后台播放音乐
windows.wndsettings$langstab.title,Language Settings,语言设置
windows.wndsettings$langstab.completed,This language has been fully translated and reviewed.,这个语言已被完全翻译并审核完毕。
windows.wndsettings$langstab.unreviewed,"_This language has not yet been reviewed._ It may contain errors, but all text has been translated.",_这个语言尚未被完全审核。_它也许还存在一些问题，不过所有的文本都已被翻译。
windows.wndsettings$langstab.unfinished,_This language has not been fully translated._ Large amounts of text may still be in English.,_这个语言尚未被完全翻译。_大量文本可能仍然为英语。
windows.wndsettings$langstab.transifex,All translation provided by volunteers through _Transifex._,所有翻译都由_Transifex_网站上的志愿者提供。
windows.wndsettings$langstab.credits,credits,制作名单
windows.wndsettings$langstab.reviewers,reviewers,审核员
windows.wndsettings$langstab.translators,translators,翻译员
windows.wndsupportprompt.title,A Message From The Developer,来自开发者的留言
windows.wndsupportprompt.intro,"Hello, I hope you're enjoying Shattered Pixel Dungeon!",欢迎~希望您能在破碎的像素地牢中玩得开心！
windows.wndsupportprompt.close,Close,关闭
windows.wndtradeitem.buy,Buy for %dg,花%d金币购买
windows.wndtradeitem.steal,Steal with %1$d%% chance\nCharges used: %2$d,以%1$d%%成功率偷窃\n消耗%2$d充能
windows.wndtradeitem.steal_warn,"Your armband does not have enough charge to guarantee stealing this item. If it fails, the shop will close. Are you sure you want to attempt to steal?",你的袖章充能无法保证稳妥地窃取这件道具。一旦失败，店主就会关店跑路。你确定要尝试继续窃取吗？
windows.wndtradeitem.steal_warn_yes,"Yes, I'm sure",是的，我确定
windows.wndtradeitem.steal_warn_no,"No, I changed my mind",不，我改主意了
windows.wndtradeitem.sell,Sell for %dg,卖出以获得%d金币
windows.wndtradeitem.sell_1,Sell 1 for %dg,卖出1个以获得%d金币
