﻿items.armor.curses.antientropy.name,%s of anti-entropy,反熵%s
items.artifacts.artifact.cannot_wear_two,You cannot wear two of the same artifact.,你不能装备两件相同的神器。
items.artifacts.artifact.equip_cursed,The artifact painfully binds itself to you.,这件神器令人痛苦地缠住了你的灵魂。
items.artifacts.artifact.curse_known,You can feel a malevolent magic lurking within the artifact.,你能感觉到在这个神器上潜伏着一股充满恶意的魔力。
items.artifacts.artifact.not_cursed,This artifact is free of malevolent magic.,这件神器没有被诅咒。
items.artifacts.artifact.need_to_equip,You need to equip your artifact to do that.,你需要装备神器才能进行该操作。
items.artifacts.capeofthorns.name,cape of thorns,荆棘斗篷
items.artifacts.capeofthorns.desc,"These collapsed sheets of metal from the DM-300 have formed together into a rigid cape. It seems to store a deep energy, perhaps it has some of the DM-300's power?",这些从DM-300崩解而出的金属碎片构成了一件坚硬的斗篷。它似乎能储存很多能量，也许它还残留有少量DM-300的能力？
items.artifacts.capeofthorns.desc_inactive,"The cape feels reassuringly heavy on your shoulders, it seems to be gaining energy from the damage you take.",斗篷令人安心的沉重压在你的肩上，它似乎能从你受的伤里获得能量。
items.artifacts.capeofthorns.desc_active,"The cape seems to be releasing stored energy, it is radiating a protective power.",斗篷似乎在释放其存储的能量，并将其辐射出一种防护力场。
items.artifacts.capeofthorns$thorns.inert,Your Cape becomes inert again.,你的斗篷再次失效了。
items.artifacts.capeofthorns$thorns.radiating,"Your Cape begins radiating energy, you feel protected!",你的斗篷正在释放存储的能量，你感到自己正在被保护着！
items.artifacts.capeofthorns$thorns.levelup,Your Cape grows stronger!,你的斗篷变得更强大了！
items.artifacts.capeofthorns$thorns.name,thorns,荆棘
items.artifacts.capeofthorns$thorns.desc,"Your cape is radiating energy, surrounding you in a field of deflective force!\n\nAll damage you receive is reduced while the thorns effect is active. Additionally, if the attacker is next to you, the reduced amount is deflected back at the attacker.\n\nTurns of thorns remaining: %s.","你的斗篷在你周围辐射能量，产生了一个偏斜力场！\n\n该效果下你受到的所有伤害都会被减少。此外，如果攻击者就在你旁边，被减少的伤害会反弹给攻击者。\n\n荆棘效果持续时间：%s回合"
items.artifacts.chaliceofblood.name,chalice of blood,蓄血圣杯
items.artifacts.chaliceofblood.ac_prick,PRICK,血祭
items.artifacts.chaliceofblood.yes,"Yes, I know what I'm doing",是的，我知道我在做什么
items.artifacts.chaliceofblood.no,"No, I changed my mind",不，我改主意了
items.artifacts.chaliceofblood.prick_warn,"Each time you use the chalice it will drain more life energy, if you are not careful this can easily kill you.\n\nAre you sure you want to offer it more life energy?","每次使用圣杯都会消耗更多的生命能量，要是不够小心，这种行为可以轻易地杀死你。\n\n你确定要给它更多的生命能量吗？"
items.artifacts.chaliceofblood.onprick,"You prick yourself, and your life essence drains into the chalice.",你刺破了自己的手指，使你的生命精华流入了圣杯。
items.artifacts.chaliceofblood.ondeath,The Chalice sucks your life essence dry...,圣杯将你的生命精华吸噬殆尽了...
items.artifacts.chaliceofblood.desc,This shining silver chalice is oddly adorned with sharp gems at the rim.,这个闪闪发光的银质圣杯在边沿突兀地装饰着几颗造型尖锐的宝石。
items.artifacts.chaliceofblood.desc_cursed,"The cursed chalice has bound itself to your hand, and is inhibiting your ability to regenerate health.",被诅咒的圣杯将自己固定在你手上，抑制着你回复生命的能力。
items.artifacts.chaliceofblood.desc_1,"As you hold the chalice, you feel oddly compelled to prick yourself on the sharp gems.",握住圣杯的那一刻，你涌起一股想在那些尖锐宝石上刺伤自己的奇特冲动。
items.artifacts.chaliceofblood.desc_2,"Some of your blood is pooled into the chalice, you can subtly feel the chalice feeding life energy into you. You still want to cut yourself on the chalice, even though you know it will hurt.",你的一些血液汇集到圣杯里，你可以隐约感受到杯子在为你送来生命能量。你还想用圣杯继续割伤自己，即便你知道那很疼。
items.artifacts.chaliceofblood.desc_3,The chalice is filled to the brim with your life essence. You can feel the chalice pouring life energy back into you.,圣杯已经被你的生命精华填满。你可以感觉到圣杯正将生命能量倾泻般回馈给你。
items.artifacts.cloakofshadows.name,cloak of shadows,暗影斗篷
items.artifacts.cloakofshadows.ac_stealth,STEALTH,潜行
items.artifacts.cloakofshadows.cooldown,Your cloak needs %d more rounds to re-energize.,你的斗篷还需要%d回合来重新激活。
items.artifacts.cloakofshadows.cursed,You cannot use a cursed cloak.,你不能使用被诅咒的斗篷。
items.artifacts.cloakofshadows.no_charge,Your cloak hasn't recharged enough to be usable yet.,你的斗篷充能不足无法使用。
items.artifacts.cloakofshadows.desc,"A priceless magical cloak, stolen from the royal armory many years ago by the Rogue. When worn, it can be used to turn completely invisible for a short time.\n\nThe more the cloak is used, the stronger it will become, allowing the Rogue to become invisible more frequently and for longer durations.","这是盗贼多年前从皇家军械库窃取的一件无价的魔法斗篷。穿上时，能够使你在短时间内完全隐形。\n\n被使用得越频繁，斗篷就会变得越强，使盗贼更频繁地隐形，持续时间也更长。"
items.artifacts.cloakofshadows$cloakstealth.no_charge,Your cloak has run out of energy.,你的斗篷耗尽了能量。
items.artifacts.cloakofshadows$cloakstealth.levelup,Your cloak grows stronger!,你的斗篷变得更强大了！
items.artifacts.cloakofshadows$cloakstealth.name,cloaked,影遁
items.artifacts.cloakofshadows$cloakstealth.desc,"Your cloak of shadows is granting you invisibility while you are shrouded by it. You will remain cloaked until it is cancelled or your cloak runs out of charge.\n\nWhile you are invisible enemies are unable to attack or follow you. Physical attacks and magical effects (such as scrolls and wands) will immediately cancel invisibility.\n\nTurns until charge use: %d.","你身上的暗影斗篷正给予你隐形效果。你会一直拥有该状态，直到你自行取消或斗篷耗尽充能。\n\n当你在隐形时敌人无法攻击或追踪你。大部分物理攻击和魔法(比如卷轴和法杖)会立即解除隐形效果。\n\n距离下次消耗充能还有：%d回合"
items.artifacts.driedrose.name,dried rose,干枯玫瑰
items.artifacts.driedrose.ac_summon,SUMMON,召唤
items.artifacts.driedrose.ac_direct,DIRECT,指引
items.artifacts.driedrose.ac_outfit,OUTFIT,配装
items.artifacts.driedrose.spawned,You have already summoned the ghost.,你已经召唤出幽灵了。
items.artifacts.driedrose.no_charge,Your rose isn't fully charged yet.,你的玫瑰尚未充能完毕。
items.artifacts.driedrose.cursed,You cannot use a cursed rose.,你不能使用被诅咒的玫瑰。
items.artifacts.driedrose.no_space,There is no free space near you.,你附近没有可用于召唤的空地。
items.artifacts.driedrose.charged,Your rose is fully charged!,你的玫瑰已经充能完毕！
items.artifacts.driedrose.desc,"Is this the rose that the ghost mentioned before disappearing? It seems to hold some spiritual power, perhaps it can be used to channel the energy of that lost warrior.",这就是那朵在幽灵消失前被提及的玫瑰吗？它似乎拥有某种精神力量，也许能以此为媒介触及这位陨落战士的能量。
items.artifacts.driedrose.desc_no_quest,"A dried aged rose that is somehow still holding together despite its age.\n\nIt seems to have some spiritual power, but you have no idea how to use it right now.","一株因岁月而干枯却没有完全凋零的玫瑰。\n\n它上面看起来残留了一些精神力量，但你现在还不知道如何使用它。"
items.artifacts.driedrose.desc_hint,It seems to be missing some petals. Perhaps reattaching them will strengthen the rose.,它似乎缺少了一些花瓣。也许把花瓣拼回来可以增强玫瑰。
items.artifacts.driedrose.desc_cursed,"The cursed rose is bound to your hand, it feels eerily cold.",被诅咒的玫瑰被绑在了你的手上，你感觉到它出奇的冷。
items.artifacts.driedrose.desc_weapon,Ghost's weapon: %s,幽灵的武器：%s
items.artifacts.driedrose.desc_armor,Ghost's armor: %s,幽灵的盔甲：%s
items.artifacts.driedrose.desc_strength,Ghost's strength: %s,幽灵的力量：%s
items.artifacts.driedrose$petal.name,dried petal,干枯花瓣
items.artifacts.driedrose$petal.no_rose,You have no rose to add this petal to.,你没有玫瑰来添加这片花瓣。
items.artifacts.driedrose$petal.no_room,"There is no room left for this petal, so you discard it.",你的玫瑰已经放不下这片花瓣了，所以你无视了它。
items.artifacts.driedrose$petal.maxlevel,The rose is completed!,玫瑰再一次完整了！
items.artifacts.driedrose$petal.levelup,You add the petal to the rose.,你将花瓣放在了玫瑰上。
items.artifacts.driedrose$petal.desc,"A frail dried up petal, which has somehow survived this far into the dungeon.",一片干枯脆弱的花瓣，它居然能够在这么深的地牢之中幸存下来。
items.artifacts.driedrose$wndghosthero.title,Ghost's Equipment,幽灵的装备
items.artifacts.driedrose$wndghosthero.desc,"The ghost is weak on their own, but their form is solid enough to be equipped with a weapon and armor. They will be able to use these items just like you do.\n\nThe ghost can currently equip items requiring up to _%d strength._","幽灵本身十分脆弱，但她的形体已经完整到足以装备一件武器和防具。她可以和你一样自如使用这些装备。\n\n幽灵目前最高可装备_力量需求为%d_的物品。"
items.artifacts.driedrose$wndghosthero.weapon_prompt,Select a weapon,选择一件武器
items.artifacts.driedrose$wndghosthero.armor_prompt,Select an armor,选择一件护甲
items.artifacts.driedrose$wndghosthero.cant_unique,The ghost can't use unique items.,幽灵无法使用特殊装备。
items.artifacts.driedrose$wndghosthero.cant_unidentified,You don't know enough about that item.,你对于那个道具并不是十分了解。
items.artifacts.driedrose$wndghosthero.cant_cursed,You can't give the ghost cursed equipment.,你不能让幽灵使用有诅咒的物品。
items.artifacts.driedrose$wndghosthero.cant_strength,The ghost is not strong enough to use that.,幽灵的形体还不够强大，无法装备此物品。
items.artifacts.driedrose$ghosthero.name,sad ghost,悲伤幽灵
items.artifacts.driedrose$ghosthero.def_verb,evaded,闪避
items.artifacts.driedrose$ghosthero.hello,Hello again %s.,再次向你问好，%s。
items.artifacts.driedrose$ghosthero.introduce,"My spirit is bound to this rose, it was very precious to me, a gift from my love whom I left on the surface.\n\nI cannot return to him, but thanks to you I have a second chance to complete my journey. When I am able I will respond to your call and fight with you.\n\nAs long as you have the rose I can hear your voice, so you can use it to direct me from afar.\n\nHopefully you may succeed where I failed...","我的灵魂与这朵玫瑰相连，它对我非常珍贵，是我在地面上相别的爱人送给我的礼物。\n\n我无法回去见他了，但感谢你给我再一次完成旅程的机会。当我准备好后，我会回应你的呼唤与你并肩作战。\n\n只要你拿着玫瑰我就可以听到你的声音，你可以在远处指引我前进。\n\n希望你能在我倒下的地方继续走下去..."
items.artifacts.driedrose$ghosthero.dialogue_sewers_1,"These sewers used to be safe, people even lived here in the winter.",下水道以前是安全的，人们甚至会住进来过冬。
items.artifacts.driedrose$ghosthero.dialogue_sewers_2,"I wonder what happened to the guard patrols, did they give up?",不知道这里的守卫怎么了，他们放弃这里的防务了吗？
items.artifacts.driedrose$ghosthero.dialogue_sewers_3,"I had family on the surface, I hope they're safe.",我在地牢外还有家人，希望他们一切安好。
items.artifacts.driedrose$ghosthero.dialogue_sewers_4,"The guards couldn't defeat these monsters, but maybe we can.",守卫没能解决这些怪物，但也许我们能。
items.artifacts.driedrose$ghosthero.dialogue_sewers_5,"If even the sewers are this dangerous, I wonder what's below...",连下水道都这么危险，不知道更深处会有些什么...
items.artifacts.driedrose$ghosthero.dialogue_sewers_6,What could have caused these rats and crabs to grow so large?,这些老鼠和螃蟹是怎么长这么大的？
items.artifacts.driedrose$ghosthero.dialogue_prison_1,"I've heard stories about this place, nothing good.",我听过不少关于这里的传闻，没有一个是好消息。
items.artifacts.driedrose$ghosthero.dialogue_prison_2,This place was always more of a dungeon than a prison.,虽说这里是座监狱，但怎么看都更像个地牢。
items.artifacts.driedrose$ghosthero.dialogue_prison_3,I can't imagine what went on when this place was abandoned.,我都不敢想象，这里被遗弃之后究竟发生过什么。
items.artifacts.driedrose$ghosthero.dialogue_prison_4,It seems both the prisoners and guards have been turned into monsters.,看来这里的囚犯和狱卒都被变成怪物了。
items.artifacts.driedrose$ghosthero.dialogue_prison_5,What could be responsible for all these skeletons?,这么多骷髅都是怎么搞来的？
items.artifacts.driedrose$ghosthero.dialogue_prison_6,These people didn't have to end up like this...,这些人其实没必要落得这种下场的...
items.artifacts.driedrose$ghosthero.dialogue_caves_1,No human or dwarf has been here for a very long time.,看起来这里已经很久未被人类和矮人踏足了。
items.artifacts.driedrose$ghosthero.dialogue_caves_2,What would cause the dwarves to abandon a gold mine?,究竟是什么原因让矮人放弃这一整座黄金矿脉的？
items.artifacts.driedrose$ghosthero.dialogue_caves_3,It's a shame all the gold here is useless on the surface.,这里的黄金在地表上没什么用，真是太可惜了。
items.artifacts.driedrose$ghosthero.dialogue_caves_4,"The creatures here are twisted, just like in the sewers.",就像下水道里的一样，这些生物也都被扭曲了。
items.artifacts.driedrose$ghosthero.dialogue_caves_5,Even the bats are bloodthirsty here.,这里连蝙蝠都这么狂暴嗜血。
items.artifacts.driedrose$ghosthero.dialogue_caves_6,"No sign of any mining equipment, did the dwarves reclaim it all?",没有看到任何采矿设备，它们都被矮人回收了吗？
items.artifacts.driedrose$ghosthero.dialogue_city_1,"The dwarves were industrious, but greedy.",矮人一族勤奋，稳重且守信，但他们既贪婪又容易记仇。
items.artifacts.driedrose$ghosthero.dialogue_city_2,So the dwarven metropolis really has fallen.,看来，矮人都城确实没落了。
items.artifacts.driedrose$ghosthero.dialogue_city_3,I hope the surface never ends up like this place.,我真心希望地表上永远不会变成这副样子。
items.artifacts.driedrose$ghosthero.dialogue_city_4,Dwarves aren't supposed to look so pale.,矮人的皮肤不应该这么苍白的。
items.artifacts.driedrose$ghosthero.dialogue_city_5,"I don't know what's worse, the dwarves, or their creations.",矮人，还有他们的造物，说不好哪种更差劲。
items.artifacts.driedrose$ghosthero.dialogue_city_6,It seems the dwarves are mindless monsters now as well.,看来矮人也成了没有思维的怪物。
items.artifacts.driedrose$ghosthero.dialogue_halls_1,What is this place?,这是什么地方？
items.artifacts.driedrose$ghosthero.dialogue_halls_2,This place is terrifying...,这里太可怕了...
items.artifacts.driedrose$ghosthero.dialogue_halls_3,"What were the dwarves thinking, toying with power like this?",矮人到底怎么想的，试图将这种力量玩弄于股掌？
